title,soldprice,link
Apple iPhone 11 Pro Max A2161 ATT T-Mobile Verizon Factory Unlocked - VERY GOOD,"IDR9,414,285.71 to IDR10,128,571.43",https://www.ebay.com/itm/255107476973?epid=11037566785&_trkparms=ispr%3D1&hash=item3b65972ded:g:J9YAAOSwHkhh1hIr&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSg3Ye8yTWgOW7pmE1t838dj5VZn5Gf1K%252BIfSBa%252BxMHI6YI3SAKNAWPiXK44X6%252F07GjyBuJdRLfC%252FOWIXr5j%252FTerafnwCzPJkZNc2wTsGOws%252BK1%252FJ8EYVo7mLRBin5u5CvIY9iAfFXqem3jnTY2GTWxt42qShUjjLv258ZgAGwfZ1vyXReXh2B6bhk8%252FUxXBj5yELUda4FHtfM9A0bvER7YT2B%252BVmqC7M1HBFKF9P0WWCfWtUP05mtQc2nODNA6uFU20nwoCbwUF0I5xdzvTDKpSvNKN1op8iCDcneZPac0TknI%252BPc4bdiOAHJXruSvJECfana%252FmK5Rhcje5oBt9v9f234nYhb%252BcX4NnYgP%252BUgHEOQJIZhmVWn%252BtCRRhj4VCbTZ47%252FRVcGM%252FMQEzIFLlW5h9G0SKLt7%252Bd7IDtmm2hr1ElO7hjNPi214e0NtR3STOCvj8st7F63%252FjUnwp5diBCKKfTUoSQ1HdoYNhd7O5pGASDquDxX%252BMwECVjK4ViDn%252BQVSkyGfChBmjrTN6V2WuoPh9qZKpn1Flzu5ufWLt0u6bQbKtyNcZ4tXlP8w1xDllwf2L5w%252FPq4iLZQHsVV9rziN32ml9wAfrqDWLivpXkiaqX1SDlj6H1DFQQXG4LmVeWOfrMmRgouwR82KkU77eolNC3nbj%252FHgGUp8wIcT7WYKTwC1VPgkSRcy28Re79j7xwrRpgqKhwhvBZo7NqErQJKdRxqlaMR10lHxIjhsssfDkDhvyfH3oqGpiBpSbn%252Brphh%252BB5PR7vHslBBNMb0EYEbnt0AZnHJM05SrZHPq2hr2epiRVloVXKXFyGcRoY0oAwc%7Cclp%3A2334524%7Ctkp%3ABFBM6tnElN1f
Apple iPhone 11 - 64GB - Factory Unlocked - Excellent Condition,"IDR5,714,142.86",https://www.ebay.com/itm/124894924869?epid=6034218704&_trkparms=ispr%3D1&hash=item1d14515045:g:N0MAAOSw9JVhO7M9&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSxXDXcCydCuSj2Tq2S%252F3GnuMwvh6p2nbSlu0B76BJhP5DAPRkvf1O%252BMgZv1r%252BrSPrvk46CRksMgKD0wRFgeuWKNi3dvU23J6%252BFBrmQ5u42X%252FFxHe%252FemRa0e32TlRTjmxDrcXTukqnmR8BhIgH0tc6t9EFoq0rtLYCagEJ%252BTKvI5oDVIuf%252BhR0jRkapXNsdzVHo6gB%252BkmFGt3Gesp9zkQ9GrVqajTbP4QEqAdE0%252FfoOZU9oRKU9VEFqRwmtpDwP5Sr4EsOOVfs4B4ez0MYVo%252FbF2gCwUvSWmpG6NuCaxeGe%252BNImtQzE2WndENrfk5mAO240KFaLHGXdikEy4ESc94DFHkQUlJgi6mMWuYooesX22hG6V4UQKLOOz489NpDq5GA7XBI6ZlFQEw9RTofaqtnd92rsaDCaiPeZcbG%252BDpuOWv%252FEg%252Fs%252B%252BskA9NAexUsN4htz2eWP0aEPdlxFK1z0hiuAKnqpx2ptY4u7SGmjb2uTnkHVi95tuOLxAKyYqwItuHxRVeqmOq5rCE8bHz%252FqMCOgBjOtbXfjUkPkPdijxx0h9pq7kNLecBG52RRC9Qja92HRgn0y8tZMgGupfEiDiwKUbzrLIiKYmChNT3dNhQvCvWeliFe4GkzfZnInGCct%252BuxCG4cJPamWxfj0oboTRI2cvyP%252BM%252FhaaF9jSsWyDKMQF3q5K9GueIxhjhqV7B1CVmbyTnFbPYrMaxGkdrO%252B0V2rBFLxmltgfAPHjv1RAvZ75xgJZeE7YhYt9syNNvFSismcHDiwfGMASb8egJ9LFa9AuvYyJxnfj2nOc0OWcjP9T8Xv6PcH%252F%252BowX2Qgv4E0YK5%7Cclp%3A2334524%7Ctkp%3ABFBM6tnElN1f
Apple iPhone X - 64GB - Factory Unlocked - Excellent Condition,"IDR3,999,857.14",https://www.ebay.com/itm/124893317985?epid=241957274&_trkparms=ispr%3D1&hash=item1d1438cb61:g:H08AAOSwBmRhOoY0&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSxXDXcCydCuSj2Tq2S%252F3GnuaWkEpw8EyNMdoY82UwtNzQLAfnnltOrrmwR2rB56IN7%252BH%252BQcML1xs2BUlzLbpokqew43kyuVbrwBKfuRCXTKicDngJFA7RhCdurUVSe1CoT9vF2GT7zdNkAuTEMOHXU2acgj49GMK6VxiW6CUNznO%252Bw0FQJrSmKFRqpHc5AAQlW0KczpLrIeARnq8ESkvbOs0da0G%252FCHnFgviBnwJ73%252FVJ8WGECCF%252BbOO%252FuQWduqlwye3pTYN2fxQEgGa1yORbHXzNUjqxbT8u8nMqz0dsslK43rYJjifRYk%252FyXpRDRZmYUA0Gzt1spfpquyjhAi0ogPduukh57MMP5Q%252B16UX6gkGKrne5Cr8JIuorVf9QztYyVqDZNUMpS3KnoN80sCdA8MqOnDSFU8fPL4BsjnezOGj%252F5LCj6X5BB7U3aBV897ZZLkFW4p%252F%252BQ2fvQQ8pB2z87vXQhqPEjAwKKISHlGJaNnf4bC6PU1yzZ7%252BhEdnwm%252BlAC1bTVUjGkpNl5RoPXr0EL6tMmt0Ecp8%252BcGn7qMahNwdMmQH1foZRQvq83JJmeGBKEr9FHRvnxDok4vbEbK1qPtTv64fcUAVfGpOWRnmHdtKxDRMdMeOqN3516BBudB88iFs1%252Fij%252Bjc0TdhCwQZjcQkPhCKBxrNsFZBxh%252FdfTVrLMdOjTIj87GuouWYnWcV9kEHY%252BrWjCnkl1NXlMnz3ysXs%252FeATB8Z3F%252B1DbBKcuR%252FQ5gZr1LgB%252B4xa9RNwXg%252BPDDwv0qxmk%252FWNNpeOtHoCF6uyyuFSAMzataKTLnTPxKcmycEuiZ65OTGS%252BwX6ZBgKo%7Cclp%3A2334524%7Ctkp%3ABFBM7NnElN1f
Apple iPhone X - 256GB - Factory Unlocked - Very Good Condition,"IDR4,357,000.00",https://www.ebay.com/itm/124893349756?epid=21043065579&_trkparms=ispr%3D1&hash=item1d1439477c:g:H08AAOSwBmRhOoY0&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSxXDXcCydCuSj2Tq2S%252F3GnmxlWPmfeQOve7CL2L3pGLAbKc3JPeBbxJooJn9flZZ5YCt%252BM93EpYwrTCYwcY6xiRjomdVxFh%252FOZpCRvRblLthdn9CYGxnpw8VIL0n4gqfk55XwP%252BJN71NLPQGB2doTTOzVIl1R1lKKQSBg29p3NEgxhuFfMuWMvOAfoXBBiim%252BhijZpK7VuPw8sV677CtUmQqXjwThkQJUjTWwJAgxcZ1wDaIqr0ueUFBIPI0LHWOUdFuuxhxtoWwQUMJXV1j5zbmSZF3ZTSKlNweLjecZVfL%252BF7HWymHeo1%252B%252BhoFjV5b6RHBSUIggIWa8D%252Fq7nWy4aHAxFqj6tSBfoWAhnfMw6mA7P6LqjCF2G9tLn6XI%252FfmgDCHjV9MoSQhjit3O6dTh8MtZFnzBjBzmdk3k04mTUqu3ptRWQPQ45l%252FVYxJPwaTseINB05ubYq6zyENQK5mIEPe3QnXTPN%252Fgw9k5uukPTUMKTNYrqUE9WLS%252FpvqVCpa6fXcPKDGqxELw8iAWBp0Nu9R9%252Fpb992%252FLvBT%252FRozxOvYX0pNrVoF3N9nen7sHzaLyFWEzSWSU%252BRjNsXUUfHah0EuiEGYwi43nOpYAQz4JZtp%252FWtmTHYVZ6jq7%252FaBJVtRxc%252BFrqNVHyP%252BmMs%252FxBjSp1DMP2gfzQwG5irsMN7fMwFtcXzH0sfwMwG9sDVjuR9iYdVpYqilPJysvQIpwS63V%252Bbt%252F9X0F7EynoPFSOR5qs%252FImEAG%252FEDCDb%252BhLCmMqObmhwOZdDQ1Rn6ryGpAF3yQrPWJWZfEapLGpSq3WAOHtI%252Bk7FlXFCRuUogO0qA0asy5%252B%7Cclp%3A2334524%7Ctkp%3ABFBM7NnElN1f
Apple iPhone SE 32GB Silver White Unlocked 4G LTE UK Seller - Grade A+ Pristine,"IDR1,748,553.13",https://www.ebay.com/itm/353781283671?epid=20033655842&hash=item525f01fb57:g:CWEAAOSwUU9hnTMO
"Case For iPhone 11 12 13 PRO MAX Mini X, XR XS Shockproof Protective 360 Cover","IDR116,518.34",https://www.ebay.com/itm/255355443105?_trkparms=ispr%3D1&hash=item3b745ed7a1:g:yrsAAOSwRFZh8w9U&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSg3Ye8yTWgOW7pmE1t838dnTvnjFaz7AZEb3ZdfhYT5Pa2AbZd8PFjNSJ8JRXM%252Fe%252BfCKwd8K08Y1M3LlVQt%252Ft5T8QvTB4dpQhOQH8sM7o99uCOV%252BRKeMZq%252BHXz0zOeNXPQCGw%252BLh8CjCqWb46bzIKNv46NuvaoDoPuvDGjK9QTne8nsTVyqs5%252F0mox2yKCh1F8HfAKIldxQ5tfv8756T8HMVpdOHXp5blzqMDh2CMMx6b516L0vpJ0Qlx5AAoPvFQDLNzpVhvOGklPxurpHDyE7pbicbP1NWg80OupoEeLdRQrLTNzitCUE21to0uDJ7rthmizGC1%252BK3ByvGlQRxmnSgGEqZ5xzzawDWzk2L91ismQl8C07LrbOLkYiZb4FZgw6LcjxddJ%252BDZyCPKWa3Ij873RycqySQdHkXAwblxcaJXJeKh%252B6KAAF2Kmebvs195Y3TKM0o%252Fv5eAXb%252FVRKo4T23zTXm8uMqrXEx%252Budh5FcwhEnGzUMUc9S4TM84JsUOEPfvy1nxlCnuI%252BqzTwCq%252BRJdZiTzTSX0F3Z2xLmvz8R5YTwxET8T3KffAOSL76u1IWUNu9%252B7RZiL6SYMMgjeMa7zPcExPvABirmA0DkRyHpSevUS0GfnT2m%252BmIxaiyp8vWz8FVndLdqkVwNhEyMhOmk3uPtwFkGVuOifyxE3GEt9F63yu28IANWJltLvf39%252FbdHPUlRMrnQ3mjpo8dqOlD7e6eQgmm8QTICuOdoWHaUkn9vNd%252F9HSd7A77G2Utks8YK7jqvjp%252BpmftUwAfXE7XX42hUy6%252BAZ4Wt6BrqsQtsXLNbKOx5ln1UFYgbaDM96T%7Cclp%3A2334524%7Ctkp%3ABFBM7NnElN1f
Apple iPhone 11 Pro - 64GB - Factory Unlocked - Excellent Condition,"IDR7,142,714.29",https://www.ebay.com/itm/114982579699?epid=9037957801&_trkparms=ispr%3D1&hash=item1ac57eedf3:g:Uk0AAOSwhi9hO8iy&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSR84A%252FGMxXIqJzFmDq6lDLrinIE1aKQz8HOAonxD%252B887%252BCSxQzjeCf8UfL28h%252BY1VXRnaxlwP%252BkscVy364NahGbgBz5E2EqXwvkSuz5R6%252BOEsXNE3qPdxqDnmfHWPifhPVOcKCTQsjTkCL3rMM6vfHah1Uo3hegSUZkMHPifGXfuI6TCa4XJIHC5ZqOfpMCFqJlNmxrZZsRE0r7rnQMwCFZJSbkAYqAQ%252FQ%252Bo634h1%252BAi5I00FLN39IlMwH28IeA71wXxs9AEGPWLs39y3gIFNS6CBLZoYbITbrnf8BTmWrkvSfnBeq1YKJwaoK3ok%252B90Mjj7IwnHtSwhwppkrdgyeqixdXY7lxIquZfMEZfeWTjnEVG5NzI71rI4G9APyrfOx2IswkWBC9N%252F6T035MCwRejBwPC3ql1D0hC4k2pUneDO%252FHkTAQRRHQy7TH3l7IDHiHAXHWhc1iYgo637fTzFuKuJybsht%252Fn1bEMSg4Iqge98amsok5Cm%252FkIMbZAvcxVEc13OaCBmlXd45Lnk9a06mEApCizAS4aiXFM7rv%252FrMHKnlHzdPLshf4nZnwfoGbjnC7c%252F%252FZkL6uc2alDessFuQfY6n5a7SLtHVg5ZVlP3Hr%252BZR%252FKCDebUYik9ywtuq1nnPEWBpF7j%252BLdNRn9J6THqAJrqNqaRvkAbMs1qxKRN4jiQntSm04yn%252FcamSNknRpAfxYVxhDZYKJjv7zOBuzQvZD41%252BVshmfPWwtUeiuE49DVBlynlxAOoVerVlkroVVrl5xra9F1uV2TQsHoOxm6NypWVfBJJRSs6om%252Bq26M3iHk2F3c3MwSkCQ6rr6vJObygk%7Cclp%3A2334524%7Ctkp%3ABFBM7NnElN1f
Apple iPhone 11 - 64GB - Factory Unlocked - Very Good Condition,"IDR5,357,000.00",https://www.ebay.com/itm/144195214173?epid=17035818063&_trkparms=ispr%3D1&hash=item2192b45b5d:g:N0MAAOSw9JVhO7M9&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS9d9gBrkNbRQtRn8MVXnYknzg5CAyW2U9EmVJK08vBSD%252FCo1JhXtb0RzsZWCVAB3gOWlBfT3azzIfNJAy7dMcbJlVZq4V3OZ59bYbJdFpKDpxM8HSA%252BIWfSvqe31ugsTMRPMW4rbCmlLrB%252FNKQg08BQSaRW11zgA7Kx%252B%252B7%252BQTlirjhRsKSTKF5OI6dnA5BMebCa%252FdY%252BORPO%252FvOK3O2BU2%252BBtsku2ceDcOsiTJYkxPua33rFHbkv6d0p%252BL9Ys%252BYr8MM8HYdNAYwwZaxtafLFb7gok5nNLzyVrRl%252B9UolXuxcpaT%252B0hLE5P%252Fw29yB0cMfjYOWzgk76zqrLpI3Dkx%252FsrnHbFTI7GfFYmgzq4WpCG%252F2tfCwjohOA6Wgn5rJ2EZce55%252FGekcfNU0FoUDuJNSwTWP3V5DUwVTxsXag2uYSGEKNGDId8rbdyoxkFtJNt4ItiHTaclGdSmREfjozHdAh1bB9NoFvZxyxD%252FWwtv3wx4VwLqMX%252B90hicIAHbsPwVCnOD5bTyc3gAiItV7TjGHlD1K2ff7HmATi9hzSyH%252Ba7ETI%252FAoZuH5KK%252BlxggfUPUUuYeXP4NGiyimiShsfDYWm%252FxpYfddmPc9vnagyNHEIyMrF6F0lQ4rYsk8f3sHJQmlkbbJIPe0JE9fgPUY4eBrRsqWd%252BTVJSm7PxAeJRefkC6OdhcXcYP%252FLLZwq7OVQjN5I79ORmeRCshsaiKBwfGyQDfQ6rKS6D52U9g5cO%252BVCF8nX90HoSWARYxEs7qIowlop3L4l%252BKquNLNjiwZ8qo05uNT41pd2427mcuvJH%252Bd9d9hu%252FGPWDFdtzaezFwMqC75YX%7Cclp%3A2334524%7Ctkp%3ABFBM7NnElN1f
